COUNTYNAME,COUNTYFP,YEAR,FuelType,value
Fairfield,39045,2010,count_Biofuel,0.0
Fairfield,39045,2011,count_Biofuel,0.0
Fairfield,39045,2012,count_Biofuel,0.0
Fairfield,39045,2013,count_Biofuel,0.0
Fairfield,39045,2014,count_Biofuel,0
Fairfield,39045,2015,count_Biofuel,0.0
Fairfield,39045,2016,count_Biofuel,0.0
Fairfield,39045,2017,count_Biofuel,0.0
Fairfield,39045,2018,count_Biofuel,0.0
Fairfield,39045,2019,count_Biofuel,0.0
Fairfield,39045,2020,count_Biofuel,0.0
Fairfield,39045,2021,count_Biofuel,0.0
Fairfield,39045,2022,count_Biofuel,0.0
Fairfield,39045,2023,count_Biofuel,0.0
Fairfield,39045,2024,count_Biofuel,0.0
Fairfield,39045,2000,count_Energy Storage,0
Fairfield,39045,2001,count_Energy Storage,0
Fairfield,39045,2002,count_Energy Storage,0
Fairfield,39045,2003,count_Energy Storage,0
Fairfield,39045,2004,count_Energy Storage,0
Fairfield,39045,2005,count_Energy Storage,0
Fairfield,39045,2006,count_Energy Storage,0
Fairfield,39045,2007,count_Energy Storage,0
Fairfield,39045,2008,count_Energy Storage,0
Fairfield,39045,2009,count_Energy Storage,0
Fairfield,39045,2010,count_Energy Storage,0.0
Fairfield,39045,2011,count_Energy Storage,0.0
Fairfield,39045,2012,count_Energy Storage,0.0
Fairfield,39045,2013,count_Energy Storage,0.0
Fairfield,39045,2014,count_Energy Storage,0
Fairfield,39045,2015,count_Energy Storage,0.0
Fairfield,39045,2016,count_Energy Storage,0.0
Fairfield,39045,2017,count_Energy Storage,0.0
Fairfield,39045,2018,count_Energy Storage,0.0
Fairfield,39045,2019,count_Energy Storage,0.0
Fairfield,39045,2020,count_Energy Storage,0.0
Fairfield,39045,2021,count_Energy Storage,0.0
Fairfield,39045,2022,count_Energy Storage,1.0
Fairfield,39045,2023,count_Energy Storage,2.0
Fairfield,39045,2024,count_Energy Storage,1.0
Fairfield,39045,2000,count_Natural Gas/Propane,0
Fairfield,39045,2001,count_Natural Gas/Propane,0
Fairfield,39045,2002,count_Natural Gas/Propane,0
Fairfield,39045,2003,count_Natural Gas/Propane,0
Fairfield,39045,2004,count_Natural Gas/Propane,0
Fairfield,39045,2005,count_Natural Gas/Propane,0
Fairfield,39045,2006,count_Natural Gas/Propane,0
Fairfield,39045,2007,count_Natural Gas/Propane,0
Fairfield,39045,2008,count_Natural Gas/Propane,0
Fairfield,39045,2009,count_Natural Gas/Propane,0
Fairfield,39045,2010,count_Natural Gas/Propane,0.0
Fairfield,39045,2011,count_Natural Gas/Propane,0.0
Fairfield,39045,2012,count_Natural Gas/Propane,0.0
Fairfield,39045,2013,count_Natural Gas/Propane,0.0
Fairfield,39045,2014,count_Natural Gas/Propane,0
Fairfield,39045,2015,count_Natural Gas/Propane,0.0
Fairfield,39045,2016,count_Natural Gas/Propane,0.0
Fairfield,39045,2017,count_Natural Gas/Propane,0.0
Fairfield,39045,2018,count_Natural Gas/Propane,0.0
Fairfield,39045,2019,count_Natural Gas/Propane,0.0
Fairfield,39045,2020,count_Natural Gas/Propane,0.0
Fairfield,39045,2021,count_Natural Gas/Propane,0.0
Fairfield,39045,2022,count_Natural Gas/Propane,0.0
Fairfield,39045,2023,count_Natural Gas/Propane,0.0
Fairfield,39045,2024,count_Natural Gas/Propane,0.0
Fairfield,39045,2000,count_Solar,0
Fairfield,39045,2001,count_Solar,0
Fairfield,39045,2002,count_Solar,0
Fairfield,39045,2003,count_Solar,0
Fairfield,39045,2004,count_Solar,0
Fairfield,39045,2005,count_Solar,0
Fairfield,39045,2006,count_Solar,0
Fairfield,39045,2007,count_Solar,0
Fairfield,39045,2008,count_Solar,0
Fairfield,39045,2009,count_Solar,0
Fairfield,39045,2010,count_Solar,3.0
Fairfield,39045,2011,count_Solar,2.0
Fairfield,39045,2012,count_Solar,2.0
Fairfield,39045,2013,count_Solar,4.0
Fairfield,39045,2014,count_Solar,0
Fairfield,39045,2015,count_Solar,2.0
Fairfield,39045,2016,count_Solar,3.0
Fairfield,39045,2017,count_Solar,2.0
Fairfield,39045,2018,count_Solar,6.0
Fairfield,39045,2019,count_Solar,20.0
Fairfield,39045,2020,count_Solar,21.0
Fairfield,39045,2021,count_Solar,32.0
Fairfield,39045,2022,count_Solar,50.0
Fairfield,39045,2023,count_Solar,53.0
Fairfield,39045,2024,count_Solar,40.0
Fairfield,39045,2000,count_Waste Gas,0
Fairfield,39045,2001,count_Waste Gas,0
Fairfield,39045,2002,count_Waste Gas,0
Fairfield,39045,2003,count_Waste Gas,0
Fairfield,39045,2004,count_Waste Gas,0
Fairfield,39045,2005,count_Waste Gas,0
Fairfield,39045,2006,count_Waste Gas,0
Fairfield,39045,2007,count_Waste Gas,0
Fairfield,39045,2008,count_Waste Gas,0
Fairfield,39045,2009,count_Waste Gas,0
Fairfield,39045,2010,count_Waste Gas,0.0
Fairfield,39045,2011,count_Waste Gas,0.0
Fairfield,39045,2012,count_Waste Gas,0.0
Fairfield,39045,2013,count_Waste Gas,0.0
Fairfield,39045,2014,count_Waste Gas,0
Fairfield,39045,2015,count_Waste Gas,0.0
Fairfield,39045,2016,count_Waste Gas,0.0
Fairfield,39045,2017,count_Waste Gas,0.0
Fairfield,39045,2018,count_Waste Gas,0.0
Fairfield,39045,2019,count_Waste Gas,0.0
Fairfield,39045,2020,count_Waste Gas,0.0
Fairfield,39045,2021,count_Waste Gas,0.0
Fairfield,39045,2022,count_Waste Gas,0.0
Fairfield,39045,2023,count_Waste Gas,0.0
Fairfield,39045,2024,count_Waste Gas,0.0
Fairfield,39045,2000,count_Wind,0
Fairfield,39045,2001,count_Wind,0
Fairfield,39045,2002,count_Wind,0
Fairfield,39045,2003,count_Wind,0
Fairfield,39045,2004,count_Wind,0
Fairfield,39045,2005,count_Wind,0
Fairfield,39045,2006,count_Wind,0
Fairfield,39045,2007,count_Wind,0
Fairfield,39045,2008,count_Wind,0
Fairfield,39045,2009,count_Wind,0
Fairfield,39045,2010,count_Wind,0.0
Fairfield,39045,2011,count_Wind,0.0
Fairfield,39045,2012,count_Wind,1.0
Fairfield,39045,2013,count_Wind,0.0
Fairfield,39045,2014,count_Wind,0
Fairfield,39045,2015,count_Wind,0.0
Fairfield,39045,2016,count_Wind,0.0
Fairfield,39045,2017,count_Wind,0.0
Fairfield,39045,2018,count_Wind,0.0
Fairfield,39045,2019,count_Wind,0.0
Fairfield,39045,2020,count_Wind,0.0
Fairfield,39045,2021,count_Wind,0.0
Fairfield,39045,2022,count_Wind,0.0
Fairfield,39045,2023,count_Wind,0.0
Fairfield,39045,2024,count_Wind,0.0
Fairfield,39045,2000,total_Biofuel,0
Fairfield,39045,2001,total_Biofuel,0
Fairfield,39045,2002,total_Biofuel,0
Fairfield,39045,2003,total_Biofuel,0
Fairfield,39045,2004,total_Biofuel,0
Fairfield,39045,2005,total_Biofuel,0
Fairfield,39045,2006,total_Biofuel,0
Fairfield,39045,2007,total_Biofuel,0
Fairfield,39045,2008,total_Biofuel,0
Fairfield,39045,2009,total_Biofuel,0
Fairfield,39045,2010,total_Biofuel,0.0
Fairfield,39045,2011,total_Biofuel,0.0
Fairfield,39045,2012,total_Biofuel,0.0
Fairfield,39045,2013,total_Biofuel,0.0
Fairfield,39045,2014,total_Biofuel,0
Fairfield,39045,2015,total_Biofuel,0.0
Fairfield,39045,2016,total_Biofuel,0.0
Fairfield,39045,2017,total_Biofuel,0.0
Fairfield,39045,2018,total_Biofuel,0.0
Fairfield,39045,2019,total_Biofuel,0.0
Fairfield,39045,2020,total_Biofuel,0.0
Fairfield,39045,2021,total_Biofuel,0.0
Fairfield,39045,2022,total_Biofuel,0.0
Fairfield,39045,2023,total_Biofuel,0.0
Fairfield,39045,2024,total_Biofuel,0.0
Fairfield,39045,2000,total_Energy Storage,0
Fairfield,39045,2001,total_Energy Storage,0
Fairfield,39045,2002,total_Energy Storage,0
Fairfield,39045,2003,total_Energy Storage,0
Fairfield,39045,2004,total_Energy Storage,0
Fairfield,39045,2005,total_Energy Storage,0
Fairfield,39045,2006,total_Energy Storage,0
Fairfield,39045,2007,total_Energy Storage,0
Fairfield,39045,2008,total_Energy Storage,0
Fairfield,39045,2009,total_Energy Storage,0
Fairfield,39045,2010,total_Energy Storage,0.0
Fairfield,39045,2011,total_Energy Storage,0.0
Fairfield,39045,2012,total_Energy Storage,0.0
Fairfield,39045,2013,total_Energy Storage,0.0
Fairfield,39045,2014,total_Energy Storage,0
Fairfield,39045,2015,total_Energy Storage,0.0
Fairfield,39045,2016,total_Energy Storage,0.0
Fairfield,39045,2017,total_Energy Storage,0.0
Fairfield,39045,2018,total_Energy Storage,0.0
Fairfield,39045,2019,total_Energy Storage,0.0
Fairfield,39045,2020,total_Energy Storage,0.0
Fairfield,39045,2021,total_Energy Storage,0.0
Fairfield,39045,2022,total_Energy Storage,3.84
Fairfield,39045,2023,total_Energy Storage,7.24
Fairfield,39045,2024,total_Energy Storage,442.0
Fairfield,39045,2000,total_Natural Gas/Propane,0
Fairfield,39045,2001,total_Natural Gas/Propane,0
Fairfield,39045,2002,total_Natural Gas/Propane,0
Fairfield,39045,2003,total_Natural Gas/Propane,0
Fairfield,39045,2004,total_Natural Gas/Propane,0
Fairfield,39045,2005,total_Natural Gas/Propane,0
Fairfield,39045,2006,total_Natural Gas/Propane,0
Fairfield,39045,2007,total_Natural Gas/Propane,0
Fairfield,39045,2008,total_Natural Gas/Propane,0
Fairfield,39045,2009,total_Natural Gas/Propane,0
Fairfield,39045,2010,total_Natural Gas/Propane,0.0
Fairfield,39045,2011,total_Natural Gas/Propane,0.0
Fairfield,39045,2012,total_Natural Gas/Propane,0.0
Fairfield,39045,2013,total_Natural Gas/Propane,0.0
Fairfield,39045,2014,total_Natural Gas/Propane,0
Fairfield,39045,2015,total_Natural Gas/Propane,0.0
Fairfield,39045,2016,total_Natural Gas/Propane,0.0
Fairfield,39045,2017,total_Natural Gas/Propane,0.0
Fairfield,39045,2018,total_Natural Gas/Propane,0.0
Fairfield,39045,2019,total_Natural Gas/Propane,0.0
Fairfield,39045,2020,total_Natural Gas/Propane,0.0
Fairfield,39045,2021,total_Natural Gas/Propane,0.0
Fairfield,39045,2022,total_Natural Gas/Propane,0.0
Fairfield,39045,2023,total_Natural Gas/Propane,0.0
Fairfield,39045,2024,total_Natural Gas/Propane,0.0
Fairfield,39045,2000,total_Solar,0
Fairfield,39045,2001,total_Solar,0
