NAME,GEOIDFQ,SUMLEVEL,YEAR,METRIC,FUEL_TYPE,VALUE
Knox,0500000US39083,050,2017,Facilities,Biomass,0.0
Knox,0500000US39083,050,2018,Facilities,Biomass,0.0
Knox,0500000US39083,050,2019,Facilities,Biomass,0.0
Knox,0500000US39083,050,2020,Facilities,Biomass,0.0
Knox,0500000US39083,050,2021,Facilities,Biomass,0.0
Knox,0500000US39083,050,2022,Facilities,Biomass,0.0
Knox,0500000US39083,050,2023,Facilities,Biomass,0.0
Knox,0500000US39083,050,2024,Facilities,Biomass,0.0
Knox,0500000US39083,050,2009,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2010,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2011,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2012,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2013,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2014,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2015,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2016,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2017,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2018,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2019,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2020,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2021,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2022,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2023,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2024,Facilities,Captured Heat from Biologically Derived Methane Gas,0.0
Knox,0500000US39083,050,2009,Facilities,Hydroelectric,0.0
Knox,0500000US39083,050,2010,Facilities,Hydroelectric,0.0
